,source,reference,court,nameFirst,nameLast,testator,shipName, dateOfWill,dateOfProbate,role,married,sick,notes,will,summary,transcription,,,,,,,,,,,
72,,need to locate,C,John,Davies,John Davies,Bull,,1622-01-01,gunner,,,probate date: missing month; probate date: missing day,,,,,,,,,,,,,,
73,,11/141/753,P,John ,Davis ,John Davis,Lesser James,,1623-06-28,pilot,,,,,,,,,,,,,,,,,
74,latin,11/105/437,P,John,Davies,John Davies,,,1605-06-05,,,,,,,,,,,,,,,,,,
75,,,C,Robert,Davis,Robert Davis,,,1613-01-01,,,,alternate last name: Davies;probate date: missing month; probate date: missing day,,,,,,,,,,,,,,
76,LMA Microfilm,,C,Thomas,Davis,Thomas Davis,Floriander,1612-01-20,1617-07-17,,,,unsure ship name: Floriander; additional ship: Hollander,,,,,,,,,,,,,,
77,LMA Microfilm,,C,Thomas,Davis,Thomas Davis,James,1617-08-14,1618-09-18,,,,,,,,,,,,,,,,,,
78,,,C,Francis,Davis,Francis Davis,Exchange,,1623-01-01,,,,probate date: missing month; probate date: missing day,,,,,,,,,,,,,,
79,,,C,Thomas,Dyne,Thomas Dyne,Diamond,,1624-01-01,,,,probate date: missing month; probate date: missing day,,,,,,,,,,,,,,
80,,,C,Constantine,Eackles,Constantine Eackles,,1614-06-25,1615-09-21,,,,alternate last name: Eccles,,,,,,,,,,,,,,
81,,,C,Thomas,Eley,Thomas Eley,Expedition,,1617-01-01,,,,probate date: missing month; probate date: missing day,,,,,,,,,,,,,,
82,,,C,Jeofrey,Elford,Jeofrey Elford,Charles,1618-04-25,1618-09-15,,,,alternate last name: Ilford,,,,,,,,,,,,,,
83,,,P,John,Elger,John Elger,Blessing,,1625-01-01,,,,probate date: missing month; probate date: missing day,,,,,,,,,,,,,,
84,,,C,Edm,Elkin,Edm Elkin,,,1609-01-01,,,,probate date: missing month; probate date: missing day,,,,,,,,,,,,,,
85,,,P,Robert,Ellingworth,Robert Ellingworth,Charles,1618-04-12,1618-09-28,,,,unsure ship name,,,,,,,,,,,,,,
86,,,C,John,Elliot,John Elliot,Exchange,,1624-01-01,,,,alternate last name: Ellyott; probate date: missing month; probate date: missing day,,,,,,,,,,,,,,
87,,,C,Robert,Ellis,Robert Ellis,New Year's Gift,1616-06-05,1616-07-17,,,,,,,,,,,,,,,,,,
88,,11/135/175,P,Henry,Eltonhead,Henry Eltonhead,,,1620-02-12,merchant,,,,,,,,,,,,,,,,,
89,,,C,William,Essex,William Essex,Royal James,,1621-01-01,,,,probate date: missing month; probate date: missing day,,,,,,,,,,,,,,
90,LMA Microfilm,,C,Robert,Etton,Robert Etton,Darling,1618-05-27,1618-11-02,,,,,,,,,,,,,,,,,,
91,,,C,Richard,Evans,Richard Evans,Anne,,1619-01-01,,,,probate date: missing month; probate date: missing day,,,,,,,,,,,,,,
92,LMA Microfilm,9052/4/xx,A,Thomas,Eves,Thomas Eves,Trades Increase,1613-04-03,1614-07-05,,,,alternate last name: Eues,,,,,,,,,,,,,,
93,,,P,William,Ewards,William Ewards,London,,1627-01-01,,,,probate date: missing month; probate date: missing day,,,,,,,,,,,,,,
94,,no OW,C,Abraham ,Eyck/Ekee,Abraham  Eyck,Bee,,1623-01-01,,,,alternate last name: Ekee; alternate last name: Eekee; probate date: missing month; probate date: missing day,,,,,,,,,,,,,,
95,,11/144/182,P,Thomas,Feild,Thomas Feild,Rose,,1624-09-25,sailor,,,,,,,,,,,,,,,,,
96,,,C,Sam,Fenton,Sam Fenton,Diamond,,1623-01-01,,,,probate date: missing month; probate date: missing day,,,,,,,,,,,,,,
97,,11/128/174,P,Thomas,fferries,Thomas fferries,New Year's Gift,1616-01-29,1616-08-03,sailor,,,,,,,,,,,,,,,,,
98,LMA Microfilm,,C,Peter,ffewin,Peter ffewin,Clove,1616-09-10,1617-07-05,,,,,,,,,,,,,,,,,,
99,,,C,Balthaser,ffifeild,Balthaser ffifeild,,1617-11-11,1618-09-12,,,,,,,,,,,,,,,,,,
100,,,C,William,ffinch,William ffinch,,1612-01-27,1614-06-24,,,,,,,,,,,,,,,,,,
101,,,P,Robert,ffithey,Robert ffithey,Charles,1617-05-07,1618-09-16,,,,,,,,,,,,,,,,,,
102,,,C,Robert,ffox,Robert ffox,Peppercorn,1616-05-03,1617-10-10,,,,,,,,,,,,,,,,,,
103,LMA Microfilm,,C,William,ffrauncis,William ffrauncis,,1614-07-25,1614-08-15,,,,,,,,,,,,,,,,,,
104,,,C,Robert,ffrickley,Robert ffrickley,Trades Increase,1613-03-30,1615-02-28,,,,probate date: earlier,,,,,,,,,,,,,,
105,,,C,William,Fletcher,William Fletcher,Royal Exchange,,1625-01-01,,,,probate date: missing month; probate date: missing day,,,,,,,,,,,,,,
106,,,C,Richard,Flud,Richard Flud,Moon,,1625-01-01,,,,probate date: missing month; probate date: missing day,,,,,,,,,,,,,,
107,,,C,Costen ,Fortmer,Costen Fortmer,Charles,,1621-01-01,,,,,,,,,,,,,,,,,,
108,,,C,Michael,Frankland,Michael Frankland,Charles,,1622-01-01,,,,alternate last name: Franckland; probate date: missing month; probate date: missing day,,,,,,,,,,,,,,
109,,,C,Peter,Frewin,Peter Frewin,Clove,,1617-01-01,,,,probate date: missing month; probate date: missing day,,,,,,,,,,,,,,
110,,,C,Robert,Friend,Robert Friend,New Year's Gift,,1621-01-01,,,,probate date: missing month; probate date: missing day,,,,,,,,,,,,,,
111,,,C,Thomas,Fuller,Thomas Fuller,,,1613-01-01,,,,probate date: missing month; probate date: missing day,,,,,,,,,,,,,,
112,,,C,Thomas,Furnisall,Thomas Furnisall,Royal Exchange,,1623-01-01,,,,probate date: missing month; probate date: missing day,,,,,,,,,,,,,,
113,,,C,William,Gamels,William Gamels,Anne,,1619-01-01,,,,probate date: missing month; probate date: missing day,,,,,,,,,,,,,,
