,source,reference,court,nameFirst,nameLast,testator,shipName, dateOfWill,dateOfProbate,role,married,sick,notes,will,summary,transcription,,,,,,,,,,,
229,,,C,Richard,Jenings,Richard Jenings,Hector,1616-01-20,1616-07-10,,,,additonal ship: New Year's Gift,,,,,,,,,,,,,,
230,LMA Microfilm,9171/20/174v,C,John,Jenkines,John Jenkines,Dragon,1604-01-17,1606-06-03,,,,alternate last name: Jenkins,,,,,,,,,,,,,,
231,,,C,George,Jenkinson,George Jenkinson,New Year's Gift,,1621-01-01,,,,corrected ship name: Lyon; probate date: missing month; probate date: missing day; additional ship: Lion,,,,,,,,,,,,,,
232,,,P,John,Jennings,John Jennings,Discovery,,1626-01-01,,,,probate date: missing month; probate date: missing day,,,,,,,,,,,,,,
233,LMA Microfilm,,C,William,Jerome,William Jerome,Trades Increase,,1614-01-01,,,,alternate last name: Gerrom; alternate last name: Gerrum; probate date: missing month; probate date: missing day,,,,,,,,,,,,,,
234,,,C,Edward,Johnes,Edward Johnes,Bear,,1624-01-01,,,,probate date: missing month; probate date: missing day; corrected ship name: Beare,,,,,,,,,,,,,,
235,,,C,Thomas,Johnson,Thomas Johnson,Susan,,1606-06-11,,,,,,,,,,,,,,,,,,
236,,,C,Peter,Johnson,Peter Johnson,Charles,1618-05-22,1618-09-23,,,,,,,,,,,,,,,,,,
237,,,C,Abraham,Johnson,Abraham Johnson,Advice,,1620-01-01,,,,probate date: missing month; probate date: missing day,,,,,,,,,,,,,,
238,,,C,Gilbt,Johnson,Gilbt Johnson,Charles,,1621-01-01,,,,probate date: missing month; probate date: missing day,,,,,,,,,,,,,,
239,,,C,William,Johnson,William Johnson,Bull,,1624-01-01,sailor,,,probate date: missing month; probate date: missing day,,,,,,,,,,,,,,
240,,11/139/627,P,Robert,Jones,Robert Jones,Hart,,1622-06-26,carpenter's mate,,,,,,,,,,,,,,,,,
241,LMA Microfilm,9171/20/177v,C,George,Jones,George Jones,Dragon,1605-01-23,1606-06-11,,,,,,,,,,,,,,,,,,
242,,,P,Thomas,Jones,Thomas Jones,,1613-04-23,1614-07-22,,,,,,,,,,,,,,,,,,
243,LMA Microfilm,,C,Thomas,Jones,Thomas Jones,Clove,1614-01-28,1614-12-15,,,,unsure ship name,,,,,,,,,,,,,,
244,,,C,Richard,Jones,Richard Jones,James   ,,1620-01-01,,,,probate date: missing month; probate date: missing day,,,,,,,,,,,,,,
245,,,P,Hugh,Jones,Hugh Jones,Hart,,1626-01-01,,,,probate date: missing month; probate date: missing day,,,,,,,,,,,,,,
246,,,,Howell,Jones - Joanes,Howell Jones,Elizabeth,,1621-01-01,cooper,,,,,,,,,,,,,,,,,
247,,,,Howell ,Jones or Joanes,Howell Jones,James,,1623-01-01,mariner,,,,,,,,,,,,,,,,,
248,LMA Microfilm,,C,Thomas,Joseph,Thomas Joseph,,1616-01-30,1617-06-20,,,,,,,,,,,,,,,,,,
249,LMA Microfilm,,C,Thomas,Juett /Ivattt,Thomas Juett,Peppercorn,1612-02-21,1613-11-27,bosn's mate,,,alternate last name: Ivatt,,,,,,,,,,,,,,
250,,,P,Robert,Jury,Robert Jury,London,,1627-01-01,,,,probate date: missing month; probate date: missing day,,,,,,,,,,,,,,
251,LMA Microfilm,,C,Jo,Keies,Jo Keies,Dragon,1616-08-12,1617-06-18,mariner,,,alternate last name: Keyes; alternate first name: John,,,,,,,,,,,,,,
252,,11/147/133,P,Thomas,Kempe,Thomas kempe,Abigail,,1625-01-01,bosn,,,probate date: missing month; probate date: missing day,Thomas Kempe,,,,,,,,,,,,,
253,,,C,Thomas,Kickwood or Kirkwood,Thomas Kickwood,Charles,1618-05-28,1618-09-14,,,,,Thomas Kickwood,,,,,,,,,,,,,
254,,11/108/116,P,ffraunces,Kindes,ffraunces Kindes,Ascension,1605-11-01,1606-07-15,servant,,,alternate first name: Frances,,,,,,,,,,,,,,
255,,11/148/142,P,John,King,John King,Charles,,1626-01-01,sailor,,,probate date: missing month; probate date: missing day,,,,,,,,,,,,,,
256,,,C,George,Kinge,George Kinge,,,1609-01-01,,,,probate date: missing month; probate date: missing day,,,,,,,,,,,,,,
257,,11/129/719,P,Thomas,Kinge,Thomas Kinge,,1615-05-21,1617-06-17,shipwright,,,,Thomas Kinge,,,,,,,,,,,,,
258,,11/154/440,P,Thomas ,Kinge,Thomas Kinge,,,1628-11-20,mariner,,,,,,,,,,,,,,,,,
259,,11/154/80,P,Thomas,Kinge,Thomas Kinge,Charles,,1628-07-11,carpenter,,,probate date: missing month; probate date: missing day,Thomas Kinge,,,,,,,,,,,,,
260,,,C,William,Knapman,William Knapman,Dragon,,1623-01-01,,,,probate date: missing month; probate date: missing day,,,,,,,,,,,,,,
261,,,P,Marmaducke,Knighte,Marmaducke Knighte,Hector,1613-07-17,1613-11-03,cooper,,,uncertain first name spelling,,,,,,,,,,,,,,
262,,,C,Robert,Knowler,Robert Knowler,Royal James,,1621-01-01,,,,probate date: missing month; probate date: missing day,,,,,,,,,,,,,,
263,LMA Microfilm,9171/22/219,C,Thomas,Laine,Thomas Laine,Hector,1613-08-28,1613-11-09,,,,,,,,,,,,,,,,,,
264,,,C,William,Lambert,William Lambert,Expedition,,1621-01-01,,,,probate date: missing month; probate date: missing day,,,,,,,,,,,,,,
265,,,P,Francis,Lane,Francis Lane,Royal James,,1622-01-01,,1,,probate date: missing month; probate date: missing day; widow: Joan Lane,,,,,,,,,,,,,,
266,,,C,George,Lane,George Lane,Clove,,1622-01-01,,,,probate date: missing month; probate date: missing day,,,,,,,,,,,,,,
267,LMA Microfilm,,C,Jasper,Lane,Jasper Lane,,,1622-01-01,for EI,,,probate date: missing month; probate date: missing day,,,,,,,,,,,,,,
268,LMA Microfilm,,C,Joan,Lane,Joan Lane,Great James,,1625-01-01,,wife of Francis Lane,,probate date: missing month; probate date: missing day,,,,,,,,,,,,,,
269,,,P,Robert,Larke,Robert Larke,Jonas,,1626-01-01,,,,probate date: missing month; probate date: missing day,,,,,,,,,,,,,,
270,"Ancestry lists ""Sarman""",,C,Hugh,Larman,Hugh Larman,Ruby,,1625-01-01,,,,probate date: missing month; probate date: missing day,,,,,,,,,,,,,,
271,,,C,Anthony,Lawrence,Anthony Lawrence,,1614-07-19,1614-07-27,,,,,,,,,,,,,,,,,,
272,,,P,William,Lawrence,William Lawrence,London,,1627-01-01,,,,probate date: missing month; probate date: missing day,,,,,,,,,,,,,,
273,,,C,Richard,Lawson,Richard Lawson,,1606-02-06,1606-07-17,,,,,,,,,,,,,,,,,,
274,,,C,Martin,Le Croix,,Globe,,1616-01-01,gunner's mate,,,,,,,,,,,,,,,,,
275,LMA Microfilm,9171/20/171,C,John,Lea,John Lea,,1604-02-28,1606-05-20,,,,,,,,,,,,,,,,,,
276,,9052/4/xx,A,Robert,Lea,Robert Lea,Globe,1615-03-16,1615-09-12,,,,,,,,,,,,,,,,,,
277,,,P,Thomas,Leake,Thomas Leake,Exchange,,1629-01-01,,,,probate date: missing month; probate date: missing day,,,,,,,,,,,,,,
278,,,C,Sam,Leane,Sam Leane,Anne,,1620-01-01,mariner,,,probate date: missing month; probate date: missing day,,,,,,,,,,,,,,
279,,9171/21/353,C,Gilbert,Lee,Gilbert Lee,Union,1611-01-01,1611-07-22,mariner,,,,,,,,,,,,,,,,,
280,,,C,ffolke,Lee,ffolke Lee,Trades Increase,1612-02-25,1614-07-08,,,,unsure ship name,,,,,,,,,,,,,,
281,,,C,David,Lees,David Lees,Dragon,1606-01-14,1614-07-13,,,,,,,,,,,,,,,,,,
282,,,C,John,Lermont,John Lermont,Anne,,1619-01-01,,,,alternate last name: Lermonte; probate date: missing month; probate date: missing day,,,,,,,,,,,,,,
283,,,C,Edward,Lewes,Edward Lewes,New Year's Gift,,1621-01-01,,,,probate date: missing month; probate date: missing day,,,,,,,,,,,,,,
284,,9171/22/204 (?),C,David,Lewis,David Lewis,Hector,1612-03-28,1613-10-18,,,,,,,,,,,,,,,,,,
285,,,C,Chris,Lilbourne,Chris Lilbourne,Anne,,1619-01-01,,,,probate date: missing month; probate date: missing day,,,,,,,,,,,,,,
286,,,C,John,Limpany,John Limpany,,1617-10-26,1618-09-16,,,,uncertain first name,,,,,,,,,,,,,,
287,,9171/20/184v,C,William,Loud,William Loud,Dragon,1604-01-17,1606-06-23,,,,,,,,,,,,,,,,,,
288,,,C,Thomas,Love,Thomas Love,Peppercorn,,1614-01-01,,,,probate date: missing month; probate date: missing day,,,,,,,,,,,,,,
289,,,P,James,Lovell,James Lovell,,1613-07-10,1614-06-22,,,,,,,,,,,,,,,,,,
290,,,C,George,Lowes,George Lowes,New Year's Gift,,1621-01-01,,,,probate date: missing month; probate date: missing day,,,,,,,,,,,,,,
291,,,C,William,Lucas,William Lucas,Trades Increase,1612-04-11,1614-07-02,,,,unsure ship name,,,,,,,,,,,,,,
292,,,C,Williams,Lucas,Williams Lucas,Unicorn,,1620-01-01,,,,probate date: missing month; probate date: missing day; corrected ship name: Unicorne,,,,,,,,,,,,,,
293,,11/108/60,P,Barnard,Luveridge,Barnard Luveridge,Ascension,,1606-07-07,,,,,,,,,,,,,,,,,,
294,,,C,Nicholas,Lyle,Nicholas Lyle,Lion,,1623-01-01,,,,corrected ship name: Lyon; probate date: missing month; probate date: missing day,,,,,,,,,,,,,,
295,LMA Microfilm,,C,Robert,Lynnegar,Robert Lynnegar,,1615-02-24,1615-09-20,,,,alternate last name: Linnegar,,,,,,,,,,,,,,
296,,11/102/191v,P,Steven,Maddocke,Steven Maddocke,Dragon,1603-06-26,1603-10-25,,,,,,,,,,,,,,,,,,
297,,11/108/89,P,Thomas,Magweare,Thomas Magweare,,1605-09-13,1606-07-08,,,,,,,,,,,,,,,,,,
298,,,P,Edward,Maior,Edward Maior,London,,1628-01-01,,,,probate date: missing month; probate date: missing day,,,,,,,,,,,,,,
299,,,P,Richard,Makepeace,Richard Makepeace,Diamond,,1622-01-01,,,,probate date: missing month; probate date: missing day,,,,,,,,,,,,,,
300,,,C,William,Mallard,William Mallard,Anne,,1619-01-01,,,,,,,,,,,,,,,,,,
301,,,C,William,Mansfeild,William Mansfeild,,1613-09-07,1613-11-24,,,,,,,,,,,,,,,,,,
302,,,C,Ansel,Manson,Ansel Manson,,1608-03-07,1611-04-08,,,,,,,,,,,,,,,,,,
303,,11/101/401,P,Davy,Marchant,Davy Marchant,Ascension,,1603-07-04,,,,,,,,,,,,,,,,,,
304,,,C,Peter,Marchante,Peter Marchante,,1606-07-01,1606-07-21,,,,uncertain first name,,,,,,,,,,,,,,
305,,,C,Edward,Markes,Edward Markes,Clove,1616-12-27,1617-07-14,,,,,,,,,,,,,,,,,,
306,LMA Microfilm,,C,Robert,Markham,Robert Markham,Thomas,1613-08-10,1613-12-21,,,,,,,,,,,,,,,,,,
307,,11/126/104,P,Edmonde,Marlowe,Edmonde Marlowe,James,1614-04-16,1615-09-22,,,,designation: Capt.,Edmonde Marlowe,,,,,,,,,,,,,
308,,11/102/185v,P,John,Marmaduke,John Marmaduke,Dragon,,1603-10-31,,,,,,,,,,,,,,,,,,
309,,,P,John,Marshall,John Marshall,,1599-04-07,1606-06-06,,,,will date: missing year,John Mascall,,,,,,,,,,,,,
310,,,P,Thomas,Marshall,Thomas Marshall,Royal James,,1621-01-01,,,,probate date: missing month; probate date: missing day,,,,,,,,,,,,,,
311,,,C,William,Marshall,William Marshall,Royal James,,1621-01-01,,,,probate date: missing month; probate date: missing day,,,,,,,,,,,,,,
312,,11/150/311,P,John,Marten,John Marten,Charles,,1626-11-15,,,,probate date: missing month; probate date: missing day,,,,,,,,,,,,,,
313,,11/152/800,P,Thomas,Martin,Thomas Martin,London,,1627-12-04,,,,probate date: missing month; probate date: missing day,,,,,,,,,,,,,,
314,,,P,Thomas,Martin,Thomas Martin,Charles,,1626-01-01,,,,probate date: missing month; probate date: missing day,,,,,,,,,,,,,,
315,,,P,John,Marychurch,John Marychurch,,1617-08-01,1618-09-10,,,,,,,,,,,,,,,,,,
316,,11/102/474,P,Ottes,Mason,Ottes Mason,Hector,1603-05-19,1603-10-29,mariner,,,,,,,,,,,,,,,,,
317,,9171/21/356,C,Anselline or Anselme,Mason,Anselline Mason,Union,1609-04-26,1611-08-23,,,,"From oriignal file: \""(Manson",,,,,,,,,,,,,,
318,,11/115/466,P,Thomas,Massey,Thomas Massey,Swann,,1609-01-01,mariner,,,,,,,,,,,,,,,,,
319,,,C,Richard,Massie,Richard Massie,,1613-02-14,1614-06-20,,,,,,,,,,,,,,,,,,
320,,11/117/671,P,Nicholas,Mathewe,Nicholas Mathewe,Expedition,1610-12-03,1611-06-27,carpenter's mate,,,,,,,,,,,,,,,,,
321,,,C,Henrie,Mathewes,Henrie Mathewes,,1613-08-16,1614-07-04,,,,,,,,,,,,,,,,,,
322,LMA Microfilm,,C,John,Matthews,John Matthews,Trades Increase,1613-04-04,1614-09-25,,,,,,,,,,,,,,,,,,
323,,,P,John,Mattris,John Mattris,Blessing,,1625-01-01,,,,probate date: missing month; probate date: missing day,,,,,,,,,,,,,,
324,,,C,John,Maxwellm,John Maxwellm,Diamond,,1622-01-01,,,,probate date: missing month; probate date: missing day,,,,,,,,,,,,,,
325,,11/150/316,P,John,May,John May,Bull,,1626-11-26,,,,probate date: missing month; probate date: missing day,,,,,,,,,,,,,,
326,,11/150/220,P,Richard,Mayden,Richard Mayden,Charles,,1626-11-03,sailor,,,probate date: missing month; probate date: missing day,,,,,,,,,,,,,,
327,,,C,Robert,Meade,Robert Meade,Diamond,,1622-01-01,,,,probate date: missing month; probate date: missing day,,,,,,,,,,,,,,
328,LMA Microfilm,,C,William,Medcalfe or Mettcalfe,William Medcalfe,Dragon,1616-08-07,1617-07-17,quartergunner,,,alternate last name: Metcalf,,,,,,,,,,,,,,
329,,,C,Nicholas,Medland,Nicholas Medland,,,1624-01-01,apprentice caulker,,,probate date: missing month; probate date: missing day,,,,,,,,,,,,,,
330,LMA Microfilm,,C,Anthony,Meeres,Anthony Meeres,Trades Increase,1613-03-31,1614-08-30,,,,,,,,,,,,,,,,,,
331,,,C,Andrew,Melvn,Andrew Melvn,Royal James,,1621-01-01,sailor,,,probate date: missing month; probate date: missing day,,,,,,,,,,,,,,
332,,11/144/295,P,William,Mendicke,William Mendicke,Diamond,1620-09-12,1624-10-19,,,,,,,,,,,,,,,,,,
333,,11/134/148,P,Richard,Mercer,Richard Mercer,Anne,,1619-01-01,,,,probate date: missing month; probate date: missing day,,,,,,,,,,,,,,
334,LMA Microfilm,9171/20/182,C,Rychard,Michell,Rychard Michell,,1606-05-28,1606-06-20,,,,alternate first name: Richard,,,,,,,,,,,,,,
335,,11/138/307,P,Modecai,Michell,Modecai Michell,Clove,,1621-10-23,,,,probate date: missing month; probate date: missing day,,,,,,,,,,,,,,
336,,11/123/696,P,Henry,Middleton,Henry Middleton,,1610-05-29,1614-06-22,general,,,designation: kt.,,,,,,,,,,,,,,
337,,,C,John,Middleton,John Middleton,,1615-08-03,1616-10-22,,,,,,,,,,,,,,,,,,
338,,,C,William,Midgeley,William Midgeley,,1611-07-01,1611-08-19,,,,,,,,,,,,,,,,,,
339,,11/156/169,P,John,Miles or Myles,John Miles,Jonas,,1629-08-03,sailor,,,probate date: missing month; probate date: missing day,,,,,,,,,,,,,,
340,,,C,Nicholas,Milles,Nicholas Milles,,,1614-05-13,,,,,,,,,,,,,,,,,,
341,,9052/4/xx,A,Edward,Mills,Edward Mills,Dragon,,1617-06-14,,,,,,,,,,,,,,,,,,
342,LMA Microfilm,,C,Mich,Milner,Mich Milner,Charles,,1623-01-01,,,,probate date: missing month; probate date: missing day,,,,,,,,,,,,,,
343,,,C,Henry,Mitchell,Henry Mitchell,New Year's Gift,,1621-01-01,,,,alternate last name: Michell; probate date: missing month; probate date: missing day,,,,,,,,,,,,,,
344,LMA Microfilm,,C,Matthew,Molborrow,Matthew Molborrow,,,1625-01-01,,,,alternate last name: Molborrowe; probate date: missing month; probate date: missing day,,,,,,,,,,,,,,
345,,11/101/393,P,Nicholas,Moore,Nicholas Moore,Ascension,1603-02-17,1603-07-01,,,,,,,,,,,,,,,,,,
346,,9171/22/212v,C,John,Moore,John Moore,Hector,1613-08-27,1613-10-30,,,,,,,,,,,,,,,,,,
347,,,C,Marten,Moore,Marten Moore,Trades Increase,1613-08-11,1614-07-30,,,,,,,,,,,,,,,,,,
348,,11/126/139,P,John,Moore,John Moore,James,1613-09-18,1615-09-16,,,,,,,,,,,,,,,,,,
349,,,P,William,Moore,William Moore,London,,1628-01-01,,,,probate date: missing month; probate date: missing day,,,,,,,,,,,,,,
350,,11/108/59v,P,Lancelete,More,Lancelete More,,1605-08-20,1606-07-20,,,,,,,,,,,,,,,,,,
351,,,C,Walter,Morgan,Walter Morgan,New Year's Gift,1615-10-28,1616-07-08,,,,,,,,,,,,,,,,,,
352,,,C,William,Morgan,William Morgan,,1616-07-13,1616-07-17,,,,uncertain first name,,,,,,,,,,,,,,
353,,,P,Hopkin,Morgan,Hopkin Morgan,Discovery,,1625-01-01,,,,probate date: missing month; probate date: missing day,,,,,,,,,,,,,,
354,,,P,Robert,Moseley,Robert Moseley,Hart,,1626-01-01,,,,probate date: missing month; probate date: missing day,,,,,,,,,,,,,,
355,,,C,Francis,Moss,Francis Moss,Diamond,,1622-01-01,,,,alternate last name: Mosse,,,,,,,,,,,,,,
356,,,P,William,Mosse,William Mosse,Hart,,1628-01-01,,,,probate date: missing month; probate date: missing day,,,,,,,,,,,,,,
357,,,C,John,Moyses,John Moyses,Trades Increase,,1614-07-29,,,,,,,,,,,,,,,,,,
358,,,P,John,Mucknell,John Mucknell,,1613-08-22,1613-11-18,,,,,,,,,,,,,,,,,,
359,,,C,John,Muffett,John Muffett,,,1614-07-19,,,,,,,,,,,,,,,,,,
360,,,C,Tomas,Muge,Tomas Muge,Clove,1613-02-02,1615-01-07,,,,alternate last name: Mudge; unsure ship name,,,,,,,,,,,,,,
361,,11/102/193v,P,Henrye,Napper,Henrye Napper,Hector,1602-02-25,1603-10-17,,,,,,,,,,,,,,,,,,
362,,9171/22/210,C,ffrancis,Napper,ffrancis Napper,Hector,1613-09-05,1613-10-25,,,,,,,,,,,,,,,,,,
363,,9171/21/203v,C,Lawrence,Nashe,Lawrence Nashe,Dragon,,1609-12-04,,,,,,,,,,,,,,,,,,
364,,,P,Valentine,Nashe,Valentine Nashe,Hector,1614-02-19,1617-06-16,,,,,,,,,,,,,,,,,,
365,,,P,Nicholas,Nayler,Nicholas Nayler,Charles,,1626-01-01,,,,probate date: missing month; probate date: missing day,,,,,,,,,,,,,,
366,,,P,John,Naylor,John Naylor,Jonas,,1626-01-01,,,,probate date: missing month; probate date: missing day,,,,,,,,,,,,,,
367,,,P,John,Neale,John Neale,Hector,1612-12-08,1613-10-30,,,,,,,,,,,,,,,,,,
368,,,P,William,Neale,William Neale,Dragon,1613-09-23,1614-06-28,,,,,,,,,,,,,,,,,,
369,,,C,John,Neale,John Neale,Anne,,1619-01-01,,,,probate date: missing month; probate date: missing day,,,,,,,,,,,,,,
370,,,P,Samuell,Negus,Nicholas,,1615-05-17,1617-06-20,,,,,,,,,,,,,,,,,,
371,,,P,George,Nelson,George Nelson,Mary,,1629-01-01,,,,probate date: missing month; probate date: missing day,,,,,,,,,,,,,,
372,,9171/22/210,C,Francis,Neper,Francis Neper,Hector,1613-09-05,,sailor,,,alternate last name: Naper; probate date: missing month; probate date: missing day,,,,,,,,,,,,,,
373,,,P,Hugh,Netle,Hugh Netle,London,,1628-01-01,,,,probate date: missing month; probate date: missing day,,,,,,,,,,,,,,
374,,,P,Arthur,Newchurch,Arthur Newchurch,Dragon,1616-11-23,1617-06-17,,,,,,,,,,,,,,,,,,
375,,,C,John,Newcombe,John Newcombe,,,1610-01-01,,,,probate date: missing month; probate date: missing day,,,,,,,,,,,,,,
376,,,P,John,Newport,John Newport,Jonas,,1626-01-01,,,,probate date: missing month; probate date: missing day,,,,,,,,,,,,,,
377,,,C,Christopher,Newton,Christopher Newton,,1608-03-07,1611-04-08,,,,,,,,,,,,,,,,,,
378,,11/118/71,P,William,Nicholles,William Nicholles,Expedition,1610-03-26,1611-07-04,,,,,,,,,,,,,,,,,,
379,,,P,Nicholas,Nicholls,Nicholas Nicholls,Solomon,,1619-01-01,,,,probate date: missing month; probate date: missing day,,,,,,,,,,,,,,
380,,,P,Edward,Nicholson,Edward Nicholson,Discovery,,1628-01-01,,,,probate date: missing month; probate date: missing day,,,,,,,,,,,,,,
381,,,C,Nicholas,Nickulls,Nicholas Nickulls,Diamond,,1623-01-01,,,,alternate last name: Nickulson,,,,,,,,,,,,,,
382,,,C,John,Ninns,John Ninns,Trades Increase,1613-03-02,1614-07-28,,,,alternate last name: Ninus,,,,,,,,,,,,,,
383,,,P,John,Noakes,John Noakes,Charles,1618-02-08,1618-09-23,,,,,,,,,,,,,,,,,,
384,,,P,William,Nobbs,William Nobbs,Peppercorn,,1621-01-01,,,,probate date: missing month; probate date: missing day,,,,,,,,,,,,,,
385,,,C,William,Noble,William Noble,Trades Increase,1613-05-26,1614-07-21,,,,,,,,,,,,,,,,,,
386,,,P,Andrew,Noble,Andrew Noble,Discovery,,1625-01-01,,,,probate date: missing month; probate date: missing day,,,,,,,,,,,,,,
387,,11/124/284,P,John,Noddicott,John Noddicott,Trades Increase,1613-03-21,1614-08-15,trumpeter,,,,,,,,,,,,,,,,,
388,,,C,Edward,Norman,Edward Norman,Exchange,,1623-01-01,,,,probate date: missing month; probate date: missing day,,,,,,,,,,,,,,
389,,,C,Luke,Nott,Luke Nott,Trades Increase,,1614-07-16,,,,alternate last name: Knott,,,,,,,,,,,,,,
390,,,P,Thomas,Nowell,Thomas Nowell,,1615-01-03,1617-09-16,,,,,,,,,,,,,,,,,,
391,LMA Microfilm,,C,0,Oakley,0 Oakley,Hope,,1623-01-01,,,,alternate last name: Okeley; probate date: missing month; probate date: missing day,,,,,,,,,,,,,,
392,,,P,Richard,Oathweete,Richard Oathweete,Globe,1616-12-07,1617-09-20,,,,,,,,,,,,,,,,,,
393,,,P,Zachary,Olds,Zachary Olds,Royal James,,1622-01-01,,,,probate date: missing month; probate date: missing day,,,,,,,,,,,,,,
394,,,P,Richard,Oliver,Richard Oliver,Discovery,,1625-01-01,,,,probate date: missing month; probate date: missing day,,,,,,,,,,,,,,
395,,,C,Henry,Orange,Henry Orange,Royal James,,1622-01-01,,,,probate date: missing month; probate date: missing day,,,,,,,,,,,,,,
396,,,C,Thomas,Orkney,Thomas Orkney,Swann,,1620-01-01,,,,,,,,,,,,,,,,,,
397,,,P,Cornelius,Ortson,Cornelius Ortson,Royal James,,1621-01-01,,,,probate date: missing month; probate date: missing day,,,,,,,,,,,,,,
398,,,P,Nicholas,Orwell,Nicholas Orwell,Hart,,1626-01-01,,,,probate date: missing month; probate date: missing day,,,,,,,,,,,,,,
399,,,C,William,Osborne,William Osborne,,1611-03-01,,,,,,,,,,,,,,,,,,,
400,,,C,Jasper,Owles,Jasper Owles,Paulsgrave,,1623-01-01,,,,alternate last name: Wells; probate date: missing month; probate date: missing day,,,,,,,,,,,,,,
401,,11/128/135,P,Thomas,Pagge,Thomas Pagge,New Year's Gift,1616-06-13,1616-07-22,sailor,,,,,,,,,,,,,,,,,
402,,,P,William,Paine,William Paine,Royal James,,1621-01-01,,,,probate date: missing month; probate date: missing day,,,,,,,,,,,,,,
403,,11/141/126,P,William ,Palmer,William Palmer ,Expedition,,1623-02-07,quartermaster,,,,,,,,,,,,,,,,,
404,,9052/4/xx,A,Richard,Palmer,Richard Palmer,,1615-01-17,1617-06-13,,,,,,,,,,,,,,,,,,
405,listed in index,? need to find,C,William,Palmer,William Palmer,Star,,1623-01-01,mariner,,,probate date: missing month; probate date: missing day,William Palmer,,,,,,,,,,,,,
406,,,P,Tobias,Paris,Tobias Paris,Abigail,,1625-01-01,,,,probate date: missing month; probate date: missing day,,,,,,,,,,,,,,
407,,,C,Alex,Parker,Alex Parker,Charles,,1618-01-01,,,,probate date: missing month; probate date: missing day,,,,,,,,,,,,,,
408,,,,William,Parker,William Parker,,,,,,,,,,,,,,,,,,,,,
409,,,C,Edward,Parkins,Edward Parkins,Anne,,1625-01-01,,,,Alternate last name: Perkins; Note: Son of Tho; probate date: missing month; probate date: missing day,,,,,,,,,,,,,,
410,,,P,John,Parnell,John Parnell,Royal James,,1622-01-01,,,,probate date: missing month; probate date: missing day,,,,,,,,,,,,,,
411,,9052/4/xx,A,John,Parsons,John Parsons,Dragon,1617-01-09,1617-06-23,,,,uncertain first name,,,,,,,,,,,,,,
412,,,C,Thomas,Pattinson,Thomas Pattinson,Dragon,,1614-07-03,,,,alternate last name: Pattison,,,,,,,,,,,,,,
413,,,P,Thomas,Paule,Thomas Paule,London,,1628-01-01,,,,probate date: missing month; probate date: missing day,,,,,,,,,,,,,,
414,,,C,William,Paulinge,William Paulinge,Clove,1614-09-16,1615-07-20,,,,alternate last name: Paulin; unsure ship name,,,,,,,,,,,,,,
415,,,C,John,Paull,John Paull,,1616-08-12,1616-08-26,,,,uncertain first name; property named: The Ship,,,,,,,,,,,,,,
416,,,C,Edward,Paull,Edward Paull,,1617-11-13,1618-09-18,,,,,,,,,,,,,,,,,,
417,,,P,Andrew,Paullmer,Andrew Paullmer,Clove,1613-11-01,1614-12-06,,,,,,,,,,,,,,,,,,
418,,,P,William,Pawling,William Pawling,Charles,,1626-01-01,,,,probate date: missing month; probate date: missing day,,,,,,,,,,,,,,
419,,11/107/343,P,John ,Pawll,John  Pawll,Hector,1604-03-30,1606-06-24,,,,alternate last name: Paull; earlier will: 12.03.04,,,,,,,,,,,,,,
420,,11/102/349v,P,William,Payne,William Payne,Hector,1602-06-03,1603-11-02,,,,,,,,,,,,,,,,,,
421,,,P,Roger,Payne,Roger Payne,Merchant's Hope,1616-11-13,1618-09-24,,,,,,,,,,,,,,,,,,
422,,,C,John,Peache,John Peache,Discovery,,,,,,,,,,,,,,,,,,,,
423,,,C,Thomas,Pearce,Thomas Pearce,Darling,1610-03-19,1614-06-29,,,,,,,,,,,,,,,,,,
424,,,C,Edward,Pearce,Edward Pearce,Anne,,1619-01-01,,,,alternate last name: Peirce; probate date: missing month; probate date: missing day,,,,,,,,,,,,,,
425,,,C,William,Pearse,William Pearse,Expedition,1615-06-17,1615-08-28,,,,; corrected ship name: Bonadventure,,,,,,,,,,,,,,
426,,,P,William,Peerce,William Peerce,Exchange,,1624-01-01,,,,probate date: missing month; probate date: missing day,,,,,,,,,,,,,,
427,,,P,John,Peerson,John Peerson,,1617-10-25,1618-09-08,,,,uncertain first name,,,,,,,,,,,,,,
428,,,C,Lynnell,Peirce,Lynnell Peirce,,1614-08-11,1614-08-19,,,,,,,,,,,,,,,,,,
429,,,C,William,Peirce,William Peirce,Royal James,,1621-01-01,,,,probate date: missing month; probate date: missing day,,,,,,,,,,,,,,
430,,,C,Thomas,Peirce,Thomas Peirce,Paulsgrave,,1623-01-01,,,,probate date: missing month; probate date: missing day,,,,,,,,,,,,,,
431,LMA Microfilm,,C,William,Peirce,William Peirce,Discovery,,1625-01-01,bosn's mate,,,probate date: missing month; probate date: missing day,,,,,,,,,,,,,,
432,LMA Microfilm,,C,John,Peirson,John Peirson,Moon,,1623-01-01,,,,probate date: missing month; probate date: missing day,,,,,,,,,,,,,,
433,,,P,Frauncis,Pendren,Frauncis Pendren,Jonas,,1626-01-01,,,,probate date: missing month; probate date: missing day,,,,,,,,,,,,,,
434,,,P,Henry,Perkins,Henry Perkins,Hope,1618-01-01,1618-09-15,,,,,,,,,,,,,,,,,,
435,,,P,Robert,Persie,Robert Persie,Dragon,,1614-06-24,,,,alternate last name: Percy,,,,,,,,,,,,,,
